Date;Withdrawals;Deposits;Payee;Description;Reference Number;Enriched Payee;Source Bank Account;Hat;Suggested Account;SKR Code;Account ID;Account Type;Confidence;Rule Pattern;Split Hint;Review Notes
21.11.2020;0,00;50,00;DKB Ausgleich;Ausgleich Kreditkarte gem. Abrechnung v. 20.11.20;Ausgleich Kreditkarte gem. Abrechnung v. 20.11.20;;DKB Cash;transfer;DKB Cash;;141156000001467258;Bank;high;ausgleich;;"Card settlement payment — pair with giro VISA-ABR; on card: transfer_fund card→DKB Cash (API)"
23.12.2020;0,00;88,84;DKB Ausgleich;Ausgleich Kreditkarte gem. Abrechnung v. 22.12.20;Ausgleich Kreditkarte gem. Abrechnung v. 22.12.20;;DKB Cash;transfer;DKB Cash;;141156000001467258;Bank;high;ausgleich;;"Card settlement payment — pair with giro VISA-ABR; on card: transfer_fund card→DKB Cash (API)"
